date,target_date,actual,forecast,mean_prevailing_pred,horizon,err,err_mean
2017-07-01,2018-01-01,0.0471034648395255,-0.010462219675845555,0.014923631273208409,6m,0.05756568451537106,0.032179833566317095
2017-10-01,2018-04-01,0.0166027768230852,-0.011740416503977455,0.01880360573828888,6m,0.028343193327062657,-0.0022008289152036786
2018-01-01,2018-07-01,0.098411436006884,-0.015741958788452356,0.018524459950579716,6m,0.11415339479533636,0.07988697605630428
2018-04-01,2018-10-01,-0.0810054510541253,-0.06421679067873307,0.018929513498145555,6m,-0.016788660375392228,-0.09993496455227086
2018-07-01,2019-01-01,-0.02768960433757099,-0.06178347947654274,0.01709754890642804,6m,0.034093875138971746,-0.04478715324399903
2018-10-01,2019-04-01,0.1599810601755425,-0.05141103592092607,0.017892633111076268,6m,0.21139209609646858,0.14208842706446623
2019-01-01,2019-07-01,0.048998498621780504,-0.04653675551598382,0.013548978902044534,6m,0.09553525413776431,0.03544951971973597
2019-04-01,2019-10-01,0.09371555803319159,-0.044854230567334105,0.015382870446290636,6m,0.1385697886005257,0.07833268758690096
2019-07-01,2020-01-01,-0.1412618505848664,-0.050565674653733364,0.015787386865262966,6m,-0.09069617593113304,-0.15704923745012936
2019-10-01,2020-04-01,-0.041227947622949984,-0.0685114148548276,0.0163725181046716,6m,0.02728346723187762,-0.057600465727621585
2020-01-01,2020-07-01,0.2632665447273128,-0.05360970020501639,0.016341962070964007,6m,0.3168762449323292,0.2469245826563488
2020-04-01,2020-10-01,0.19187754251724282,-0.07764944741656543,0.01305920957519329,6m,0.26952698993380825,0.17881833294204952
2020-07-01,2021-01-01,0.1666603568045562,-0.058509681437564395,0.01594042209038433,6m,0.22517003824212062,0.1507199347141719
2020-10-01,2021-04-01,0.1346602602548043,-0.08037452127793786,0.016779786855985735,6m,0.21503478153274214,0.11788047339881856
2021-01-01,2021-07-01,0.08087318594298766,-0.08001025934356192,0.01835997638786834,6m,0.16088344528654958,0.06251320955511933
2021-04-01,2021-10-01,0.10351168720844156,-0.05431802295376451,0.018685239619327776,6m,0.15782971016220607,0.08482644758911378
2021-07-01,2022-01-01,0.0504454676199583,-0.03386676510857634,0.020314318164802187,6m,0.08431223272853464,0.030131149455156114
