date,target_date,actual,forecast,mean_prevailing_pred,horizon
1969-10-01,1970-01-01,-0.0267504530198251,-0.014025291037340617,NA,3m
1970-01-01,1970-04-01,-0.209073635500047,-0.10851666267225177,NA,3m
1970-04-01,1970-07-01,0.146697229172677,0.07829936788771297,NA,3m
1970-07-01,1970-10-01,0.0901040050739315,0.05322892884170979,NA,3m
1970-10-01,1971-01-01,0.0848477067795614,0.060948257632545674,NA,3m
1971-01-01,1971-04-01,-0.00609971392760117,-0.004578344106847377,NA,3m
1971-04-01,1971-07-01,-0.0137348149839993,-0.0074374998121292755,NA,3m
1971-07-01,1971-10-01,0.0374239151971308,0.030080538861689644,NA,3m
1971-10-01,1972-01-01,0.0488414714557777,0.033329015074971,NA,3m
1972-01-01,1972-04-01,-5.59858183887392e-4,0.008502287004134627,NA,3m
1972-04-01,1972-07-01,0.031331516850641,0.02284402328076864,NA,3m
1972-07-01,1972-10-01,0.0656403562280665,0.03987719903008399,NA,3m
1972-10-01,1973-01-01,-0.0569043165193082,-0.035339953107252214,NA,3m
1973-01-01,1973-04-01,-0.0673161676722539,-0.04249752467712496,NA,3m
1973-04-01,1973-07-01,0.0392170241441306,0.01878550476770388,NA,3m
1973-07-01,1973-10-01,-0.10573973641497,-0.06680204200582024,NA,3m
1973-10-01,1974-01-01,-0.0372830733944505,-0.028198790124876555,NA,3m
1974-01-01,1974-04-01,-0.088734697421162,-0.05285579207402612,NA,3m
1974-04-01,1974-07-01,-0.302677667412138,-0.15766862904334106,NA,3m
1974-07-01,1974-10-01,0.0760396454481543,0.04983674602401913,NA,3m
1974-10-01,1975-01-01,0.195459303715532,0.13696746808521795,NA,3m
1975-01-01,1975-04-01,0.132706316258157,0.08979155530797112,NA,3m
1975-04-01,1975-07-01,-0.126606913266894,-0.04672584406846998,NA,3m
1975-07-01,1975-10-01,0.0726505751812966,0.04102653465040494,NA,3m
1975-10-01,1976-01-01,0.130574925459365,0.08558659180219036,NA,3m
1976-01-01,1976-04-01,0.0145861074283193,0.022594094312953596,NA,3m
1976-04-01,1976-07-01,0.00916386710679101,0.016328839853595158,NA,3m
1976-07-01,1976-10-01,0.0208752291285835,0.018473255278909383,0.00797076958087433,3m
1976-10-01,1977-01-01,-0.0878746498628432,-0.04914152037654938,0.007593147154276259,3m
1977-01-01,1977-04-01,0.0207146672820565,0.012249555383114352,0.006778702988303573,3m
1977-04-01,1977-07-01,-0.0401048618593648,-0.028406807049028485,0.005786635284472986,3m
1977-07-01,1977-10-01,-0.0149248713091792,-0.009465588565933209,0.01011968890038796,3m
1977-10-01,1978-01-01,-0.0639358286256525,-0.022228139095977966,0.00899487179025559,3m
1978-01-01,1978-04-01,0.0684471933562249,0.05439739399654793,0.006836803333402936,3m
1978-04-01,1978-07-01,0.0708126320736375,0.06460396697253971,0.0048789852552179845,3m
1978-07-01,1978-10-01,-0.0647595975203616,-0.023365385859279258,0.005333097281411767,3m
1978-10-01,1979-01-01,0.0554517362682606,0.03979704949601384,0.005962703645832982,3m
1979-01-01,1979-04-01,0.0129097147445466,0.013065420124433444,0.0041289770696908475,3m
1979-04-01,1979-07-01,0.060424541211867,0.044543363762022434,0.0041958408207491546,3m
1979-07-01,1979-10-01,-0.0127038438693705,0.009238483058356707,0.0038487204082370222,3m
1979-10-01,1980-01-01,-0.0557207400095726,-0.019154967790628863,0.004355366628624027,3m
1980-01-01,1980-04-01,0.11244672141035,0.08495608734110188,0.00403116284883227,3m
1980-04-01,1980-07-01,0.093685484077323,0.062425566041532016,0.0028274790722131703,3m
1980-07-01,1980-10-01,0.0789016382573737,0.05180301741741965,0.0051009524626129035,3m
1980-10-01,1981-01-01,0.00176626481008129,0.01829211073443668,0.005543697592958025,3m
1981-01-01,1981-04-01,-0.0358557926184276,-0.024450133594669642,0.006407283660821397,3m
1981-04-01,1981-07-01,-0.121658380553238,-0.07598291689353626,0.007023959663733189,3m
1981-07-01,1981-10-01,0.0533783974097351,0.028367333486212568,0.007286855798653512,3m
1981-10-01,1982-01-01,-0.0903774453268688,-0.0423449130019508,0.006951099423661445,3m
1982-01-01,1982-04-01,-0.0212130534196207,0.0052811733211612245,0.00703959932980666,3m
1982-04-01,1982-07-01,0.0940570208086697,0.06812007877631954,0.0036018706263112304,3m
1982-07-01,1982-10-01,0.155217801900565,0.11042117987117411,0.0031672165751313367,3m
1982-10-01,1983-01-01,0.0839730153662245,0.07260643247481223,0.003654480371790482,3m
1983-01-01,1983-04-01,0.0944420777418761,0.06518419667627458,0.0062828559125733905,3m
1983-04-01,1983-07-01,-0.0122091408263057,-0.008158026127893635,0.008802450370575202,3m
1983-07-01,1983-10-01,-0.00688824475860083,4.598235716111327e-4,0.008727619763848825,3m
1983-10-01,1984-01-01,-0.0354855040823576,-0.021846397480327965,0.008014823748463117,3m
1984-01-01,1984-04-01,-0.0384219368962559,-0.006508214194269595,0.007707955050731443,3m
1984-04-01,1984-07-01,0.0809763161378016,0.04931555764056471,0.007497972026356035,3m
1984-07-01,1984-10-01,0.00683988986911514,0.016320120967012595,0.00749349654208657,3m
1984-10-01,1985-01-01,0.0771869052333331,0.06094838378794867,0.009645017210601996,3m
1985-01-01,1985-04-01,0.0600970049712639,0.0533117569180241,0.009949822801654455,3m
1985-04-01,1985-07-01,-0.0522676657549952,-0.01743657705107476,0.01168211210587376,3m
1985-07-01,1985-10-01,0.148738117050911,0.10358806352035187,0.016168289447062275,3m
1985-10-01,1986-01-01,0.122860786342887,0.06682126785227985,0.012852207864934405,3m
1986-01-01,1986-04-01,0.0487702313430563,0.04254730756671424,0.01382944306455073,3m
1986-04-01,1986-07-01,-0.0810132523848026,-0.04266878564196941,0.014462994390606157,3m
1986-07-01,1986-10-01,0.0458379255823927,0.03798456813848236,0.015377493478450448,3m
1986-10-01,1987-01-01,0.186085918001266,0.11664608490703418,0.014256186188437058,3m
1987-01-01,1987-04-01,0.041301824532546,0.03906057997271729,0.01439641969485809,3m
1987-04-01,1987-07-01,0.0569957544127908,0.04005658526680724,0.016683827137282895,3m
1987-07-01,1987-10-01,-0.264311284991314,-0.15199386677123258,0.017381521849223452,3m
1987-10-01,1988-01-01,0.046691090232112,0.026445464846028954,0.017809259141925948,3m
1988-01-01,1988-04-01,0.0548983608022256,0.03105612383931533,0.01231006512160294,3m
1988-04-01,1988-07-01,-0.00583049267262374,0.012902663760136204,0.01403665523412661,3m
1988-07-01,1988-10-01,0.0211422826956605,0.03129995251665784,0.016073564042034603,3m
1988-10-01,1989-01-01,0.059921169361575,0.0463552421640011,0.015322772095088696,3m
1989-01-01,1989-04-01,0.0754539064739154,0.05505021786620014,0.017437472413599206,3m
1989-04-01,1989-07-01,0.0935131415714812,0.06775604576600525,0.01905754312619963,3m
1989-07-01,1989-10-01,0.0120989305935518,0.013356286160941332,0.02179401985778425,3m
1989-10-01,1990-01-01,-0.0388314284363906,-0.016293247606980792,0.02839720000751124,3m
1990-01-01,1990-04-01,0.05181971931284,0.0289760023762,0.027331521426601196,3m
1990-04-01,1990-07-01,-0.156840363464967,-0.09931360325912814,0.02342667589073582,3m
1990-07-01,1990-10-01,0.0760106117066077,0.049528500480797204,0.02207856594164721,3m
1990-10-01,1991-01-01,0.127753421611778,0.08031892569486664,0.021574675105012653,3m
1991-01-01,1991-04-01,-0.0108792841304863,0.010306773722874106,0.02163067571376784,3m
1991-04-01,1991-07-01,0.0440112132831161,0.04039101477316951,0.02158365064964139,3m
1991-07-01,1991-10-01,0.0726575760814669,0.0636611403599759,0.02115922745699463,3m
1991-10-01,1992-01-01,-0.0326547691669271,-0.0130187849927843,0.021740016559933385,3m
1992-01-01,1992-04-01,0.0109629961183052,0.022420357698482676,0.022603055675814773,3m
1992-04-01,1992-07-01,0.0233925963215257,0.026736021256795275,0.023523387020746703,3m
1992-07-01,1992-10-01,0.0419740353097303,0.02996288435605043,0.02336085916801752,3m
1992-10-01,1993-01-01,0.0359749402600639,0.029151265705463763,0.024419150137699023,3m
1993-01-01,1993-04-01,-0.00252715718625518,0.0037854998225500596,0.025367465248014184,3m
1993-04-01,1993-07-01,0.0184730254777793,0.017076234289223443,0.027032644729442792,3m
1993-07-01,1993-10-01,0.016253140423186,0.013857205323879932,0.025849738887068124,3m
